unique_image_area_coverage,candidate_area_ratio,ocr_box_center_coverage,small_box_coverage,num_candidates,edge_patch_hit,image_id,question_id,gen_s
1.0,2.3025768289020223,1.0,1.0,160.0,1.0,docvqa_val_57388,,0.17363449999993463
1.0,1.9915457227138642,1.0,1.0,137.0,1.0,docvqa_val_16429,,0.15414199999986522
1.0,1.9081835147574717,1.0,1.0,123.0,1.0,docvqa_val_16430,,0.12176080000017464
1.0,1.8866146978282583,1.0,1.0,135.0,1.0,docvqa_val_57391,,0.16877549999981056
1.0,1.8866146978282583,1.0,1.0,135.0,1.0,docvqa_val_57395,,0.17970389999982217
1.0,1.9915457227138642,1.0,1.0,137.0,1.0,docvqa_val_16437,,0.13516070000014224
1.0,1.9915457227138642,1.0,1.0,137.0,1.0,docvqa_val_16440,,0.14591370000016468
1.0,2.2325506088790847,1.0,1.0,147.0,1.0,docvqa_val_57402,,0.19207299999970928
1.0,2.2325506088790847,1.0,1.0,147.0,1.0,docvqa_val_57403,,0.19870389999960025
1.0,2.2325506088790847,1.0,1.0,147.0,1.0,docvqa_val_57404,,0.21773299999995288
1.0,2.011404547882842,1.0,1.0,127.0,1.0,docvqa_val_16444,,0.12208719999989626
1.0,2.2325506088790847,1.0,1.0,147.0,1.0,docvqa_val_57407,,0.1685895000000528
1.0,2.011404547882842,1.0,1.0,127.0,1.0,docvqa_val_16447,,0.10530609999977969
1.0,1.896994913992213,1.0,1.0,136.0,1.0,docvqa_val_57409,,0.20398640000030355
1.0,2.025959247828543,1.0,1.0,128.0,1.0,docvqa_val_16450,,0.13436760000013237
1.0,1.896994913992213,1.0,1.0,136.0,1.0,docvqa_val_57410,,0.19403539999984787
1.0,1.896994913992213,1.0,1.0,136.0,1.0,docvqa_val_57411,,0.2405730999998923
1.0,1.896994913992213,1.0,1.0,136.0,1.0,docvqa_val_57413,,0.1860925999999381
1.0,1.896994913992213,1.0,1.0,136.0,1.0,docvqa_val_57414,,0.18657040000016423
1.0,1.896994913992213,1.0,1.0,136.0,1.0,docvqa_val_57415,,0.1913763000002291
1.0,1.896994913992213,1.0,1.0,136.0,1.0,docvqa_val_57416,,0.18752200000017183
1.0,1.896994913992213,1.0,1.0,136.0,1.0,docvqa_val_57417,,0.18549910000001546
1.0,1.896994913992213,1.0,1.0,136.0,1.0,docvqa_val_57418,,0.17285279999987324
1.0,1.9720092617391023,1.0,1.0,97.0,1.0,docvqa_val_24437,,0.08269400000017413
1.0,1.9720092617391023,1.0,1.0,97.0,1.0,docvqa_val_24438,,0.07966610000039509
1.0,2.011404547882842,1.0,1.0,127.0,1.0,docvqa_val_16455,,0.1314476999996259
1.0,2.011404547882842,1.0,1.0,127.0,1.0,docvqa_val_16456,,0.11797440000009374
1.0,2.011404547882842,1.0,1.0,127.0,1.0,docvqa_val_16463,,0.13759759999993548
1.0,1.885161881915647,1.0,1.0,132.0,1.0,docvqa_val_49234,,0.15762469999981477
1.0,1.9561464289344492,1.0,1.0,131.0,1.0,docvqa_val_57428,,0.13561140000001615
1.0,1.9720092617391023,1.0,1.0,97.0,1.0,docvqa_val_24440,,0.08619929999986198
1.0,2.011404547882842,1.0,1.0,127.0,1.0,docvqa_val_16468,,0.13320040000007793
1.0,1.9561464289344492,1.0,1.0,131.0,1.0,docvqa_val_57431,,0.15304280000009385
1.0,1.8813025152808902,1.0,1.0,122.0,1.0,docvqa_val_16473,,0.12329610000006141
1.0,1.885161881915647,1.0,1.0,132.0,1.0,docvqa_val_49242,,0.18412350000016886
1.0,1.9561464289344492,1.0,1.0,131.0,1.0,docvqa_val_57439,,0.1589878999998291
1.0,1.9561464289344492,1.0,1.0,131.0,1.0,docvqa_val_57440,,0.13884689999986222
1.0,2.167906474693479,1.0,1.0,145.0,1.0,docvqa_val_32870,,0.2318025999998099
1.0,2.167906474693479,1.0,1.0,145.0,1.0,docvqa_val_32871,,0.2369024999998146
1.0,2.167906474693479,1.0,1.0,145.0,1.0,docvqa_val_32872,,0.2307660000001306
1.0,2.167906474693479,1.0,1.0,145.0,1.0,docvqa_val_32873,,0.22184820000029504
1.0,2.167906474693479,1.0,1.0,145.0,1.0,docvqa_val_32874,,0.2373976999997467
1.0,2.167906474693479,1.0,1.0,145.0,1.0,docvqa_val_32875,,0.23648929999990287
1.0,2.167906474693479,1.0,1.0,145.0,1.0,docvqa_val_32876,,0.24466910000001008
1.0,2.138545501645405,1.0,1.0,148.0,1.0,docvqa_val_32877,,0.25010259999999107
1.0,2.138545501645405,1.0,1.0,148.0,1.0,docvqa_val_32878,,0.22025609999991502
1.0,2.138545501645405,1.0,1.0,148.0,1.0,docvqa_val_32879,,0.23671759999979258
1.0,1.8763076598598625,1.0,1.0,134.0,1.0,docvqa_val_57449,,0.22847439999986818
1.0,2.138545501645405,1.0,1.0,148.0,1.0,docvqa_val_32881,,0.19480879999991885
1.0,2.138545501645405,1.0,1.0,148.0,1.0,docvqa_val_32882,,0.2223721000000296
1.0,1.9173920723556088,1.0,1.0,132.0,1.0,docvqa_val_32883,,0.1793822999998156
1.0,1.8763076598598625,1.0,1.0,134.0,1.0,docvqa_val_57452,,0.19903709999971397
1.0,2.462346269780723,1.0,1.0,155.0,1.0,docvqa_val_32885,,0.2411773999997422
